position,person,personID,start,end
Senator,Jeanine Áñez,Q16581287,2010-10-22,2019-11-12
Senator,Eva Copa,Q75406486,2015-01-18,2020-11-03
Senator,Víctor Hugo Zamora,Q94155142,2015-01-18,2019-11-14
Senator,Andrónico Rodríguez Ledezma,Q75827853,2020-11-03,
Deputy,Desirée Bravo,Q62865374,2002,2003
Deputy,Edmundo Novillo,Q5339974,2002-08-06,2010-01-22
Deputy,Marcelo Elío Chávez,Q16941997,2010,2015
Deputy,Víctor Hugo Zamora,Q94155142,2010-01-19,2014-07-14
Deputy,Edgar Montaño Rojas,Q101436759,2015-01-22,2020-11-03
Deputy,Muriel Cruz,Q27495049,2015-01-23,
